id,color,size,tel,warning
62a7e154fc13ae37d400006d,Red,S,340-355-3391,57
62a7e154fc13ae37d400006e,Turquoise,M,725-131-1600,14
62a7e154fc13ae37d400006f,Mauv,3XL,252-901-2488,37
62a7e154fc13ae37d4000070,Green,M,384-592-1661,95
62a7e154fc13ae37d4000071,Crimson,XS,728-376-7539,61
62a7e154fc13ae37d4000072,Orange,L,702-208-5062,80
62a7e154fc13ae37d4000073,Turquoise,3XL,518-396-2115,86
62a7e154fc13ae37d4000074,Green,2XL,689-504-2772,49
62a7e154fc13ae37d4000075,Mauv,XL,482-754-2112,35
62a7e154fc13ae37d4000076,Blue,M,749-794-2158,93
62a7e154fc13ae37d4000077,Fuscia,XL,932-353-8897,9
62a7e154fc13ae37d4000078,Pink,XL,839-891-1108,96
62a7e154fc13ae37d4000079,Aquamarine,2XL,405-218-2631,72
62a7e154fc13ae37d400007a,Fuscia,3XL,824-911-0356,5
62a7e154fc13ae37d400007b,Yellow,XL,966-180-1254,43
62a7e154fc13ae37d400007c,Yellow,XL,941-700-5425,26
62a7e154fc13ae37d400007d,Crimson,L,425-442-8736,31
62a7e154fc13ae37d400007e,Puce,XS,153-162-9383,24
62a7e154fc13ae37d400007f,Aquamarine,2XL,619-870-0025,12
62a7e154fc13ae37d4000080,Pink,M,520-407-7401,67
62a7e154fc13ae37d4000081,Indigo,S,424-174-1331,64
62a7e154fc13ae37d4000082,Indigo,M,732-145-9758,25
62a7e154fc13ae37d4000083,Red,2XL,256-996-9188,2
62a7e154fc13ae37d4000084,Turquoise,XL,875-909-7291,90
62a7e154fc13ae37d4000085,Green,3XL,725-315-9709,37
62a7e154fc13ae37d4000086,Violet,XL,578-483-7962,71
62a7e154fc13ae37d4000087,Red,3XL,595-132-0289,26
62a7e154fc13ae37d4000088,Yellow,L,417-993-2837,13
62a7e154fc13ae37d4000089,Pink,L,748-403-7762,71
62a7e154fc13ae37d400008a,Turquoise,2XL,249-355-3809,58
62a7e154fc13ae37d400008b,Violet,XS,463-995-5173,18
62a7e154fc13ae37d400008c,Turquoise,2XL,888-936-8862,61
62a7e154fc13ae37d400008d,Blue,M,718-190-6825,2
62a7e154fc13ae37d400008e,Green,L,225-658-7435,31
62a7e154fc13ae37d400008f,Maroon,S,346-200-7880,10
62a7e154fc13ae37d4000090,Aquamarine,XS,343-391-4287,48
62a7e154fc13ae37d4000091,Indigo,L,436-948-5816,75
62a7e154fc13ae37d4000092,Mauv,L,942-394-4296,100
62a7e154fc13ae37d4000093,Aquamarine,2XL,376-270-8981,29
62a7e154fc13ae37d4000094,Mauv,XS,711-724-6256,70
62a7e154fc13ae37d4000095,Aquamarine,S,706-513-5048,67
62a7e154fc13ae37d4000096,Yellow,2XL,415-780-7188,60
62a7e154fc13ae37d4000097,Purple,2XL,441-362-7657,12
62a7e154fc13ae37d4000098,Pink,XS,203-131-1413,10
62a7e154fc13ae37d4000099,Khaki,XL,190-620-8748,89
62a7e154fc13ae37d400009a,Teal,XL,520-169-2342,61
62a7e154fc13ae37d400009b,Fuscia,XL,453-855-5626,61
62a7e154fc13ae37d400009c,Green,XS,321-184-5888,94
62a7e154fc13ae37d400009d,Indigo,3XL,229-532-4998,7
62a7e154fc13ae37d400009e,Goldenrod,3XL,697-667-6370,47
62a7e154fc13ae37d400009f,Purple,M,184-414-0408,78
62a7e154fc13ae37d40000a0,Pink,2XL,595-494-2856,60
62a7e154fc13ae37d40000a1,Orange,L,109-651-8826,43
62a7e154fc13ae37d40000a2,Crimson,L,368-714-7330,67
62a7e154fc13ae37d40000a3,Aquamarine,L,976-172-5969,15
62a7e154fc13ae37d40000a4,Pink,XS,917-635-3518,59
62a7e154fc13ae37d40000a5,Khaki,L,924-641-5311,51
62a7e154fc13ae37d40000a6,Puce,S,849-453-7158,57
62a7e154fc13ae37d40000a7,Mauv,M,460-256-8417,96
62a7e154fc13ae37d40000a8,Teal,L,824-139-2590,34
62a7e154fc13ae37d40000a9,Puce,XS,735-533-0750,42
62a7e154fc13ae37d40000aa,Yellow,S,855-103-7282,99
62a7e154fc13ae37d40000ab,Puce,L,863-802-8560,100
62a7e154fc13ae37d40000ac,Aquamarine,XS,156-527-9867,31
62a7e154fc13ae37d40000ad,Teal,S,225-656-7236,70
62a7e154fc13ae37d40000ae,Green,XL,156-375-1971,68
62a7e154fc13ae37d40000af,Green,2XL,518-319-4064,51
62a7e154fc13ae37d40000b0,Mauv,XL,374-888-4823,22
62a7e154fc13ae37d40000b1,Crimson,XL,959-493-7567,21
62a7e154fc13ae37d40000b2,Fuscia,3XL,550-108-2415,19
62a7e154fc13ae37d40000b3,Blue,M,451-672-6797,53
62a7e154fc13ae37d40000b4,Mauv,XS,290-500-7921,66
62a7e154fc13ae37d40000b5,Crimson,L,858-938-2928,100
62a7e154fc13ae37d40000b6,Yellow,L,213-845-1742,24
62a7e154fc13ae37d40000b7,Puce,XS,742-715-8708,76
62a7e154fc13ae37d40000b8,Fuscia,S,269-477-1316,21
62a7e154fc13ae37d40000b9,Violet,XL,198-421-4227,21
62a7e154fc13ae37d40000ba,Crimson,M,935-867-2773,41
62a7e154fc13ae37d40000bb,Indigo,2XL,382-257-1915,13
62a7e154fc13ae37d40000bc,Goldenrod,XS,237-933-0618,3
62a7e154fc13ae37d40000bd,Pink,S,586-865-6359,45
62a7e154fc13ae37d40000be,Turquoise,XL,264-793-6179,28
62a7e154fc13ae37d40000bf,Green,XS,958-728-9693,51
62a7e154fc13ae37d40000c0,Turquoise,M,739-108-8203,85
62a7e154fc13ae37d40000c1,Orange,L,604-324-0468,18
62a7e154fc13ae37d40000c2,Red,XL,667-238-4914,45
62a7e154fc13ae37d40000c3,Orange,XL,344-357-4785,48
62a7e154fc13ae37d40000c4,Khaki,XL,666-931-4348,65
62a7e154fc13ae37d40000c5,Khaki,L,443-313-7139,10
62a7e154fc13ae37d40000c6,Violet,3XL,782-425-7672,57
